"","id","choice","composition","correct","kernels","comp1","comp2","other","single"
"516",49,"2","*",0,"ls","p","l",FALSE,TRUE
"517",49,"3","*",0,"ps","p","s",FALSE,TRUE
"518",49,"*","*",1,"ls","l","p",FALSE,FALSE
"519",49,"*","*",1,"ls","l","p",FALSE,FALSE
"520",49,"6","+",0,"pp","s","p",FALSE,TRUE
"521",50,"9","*",0,"ls","p","l",FALSE,TRUE
"522",50,"5","*",0,"ls","p","l",FALSE,TRUE
"523",50,"5","+",0,"ls","l","p",FALSE,TRUE
"524",50,"+","+",1,"ls","l","s",FALSE,FALSE
"525",50,"8","*",0,"ls","l","s",FALSE,TRUE
"526",50,"+","*",0,"ls","l","p",TRUE,FALSE
"527",50,"+","*",0,"pp","s","p",TRUE,FALSE
"528",50,"*","+",0,"ls","l","s",TRUE,FALSE
"529",50,"*","*",1,"lp","s","l",FALSE,FALSE
"530",50,"7","*",0,"ls","l","s",FALSE,TRUE
