"","id","choice","composition","correct","kernels","comp1","comp2"
"152",120,"+","+",1,"lp","p","l"
"153",120,"+","*",0,"ps","s","p"
"154",120,"*","+",0,"ps","p","s"
"155",120,"+","+",1,"ls","s","l"
"156",120,"+","+",1,"ps","s","p"
"157",120,"7","*",0,"ps","p","s"
"158",120,"*","*",1,"lp","l","p"
"159",120,"+","*",0,"lp","p","l"
"160",120,"+","+",1,"ls","l","s"
"161",121,"*","*",1,"ps","p","s"
"162",121,"+","*",0,"ls","s","l"
"163",121,"*","*",1,"ls","l","s"
"164",121,"1","+",0,"ls","s","l"
"165",121,"+","*",0,"ls","s","l"
"166",121,"9","*",0,"ls","s","l"
"167",121,"3","*",0,"ps","s","p"
"168",121,"+","+",1,"lp","l","p"
"169",121,"+","*",0,"ps","s","p"
"170",121,"4","*",0,"lp","p","l"
"171",122,"8","*",0,"ls","l","s"
"172",122,"*","*",1,"lp","l","p"
"173",122,"*","*",1,"lp","l","p"
"174",122,"+","+",1,"lp","l","p"
"175",122,"6","*",0,"ps","p","s"
"176",122,"3","*",0,"ps","p","s"
"177",122,"5","*",0,"lp","p","l"
"178",122,"*","+",0,"ps","p","s"
"179",122,"4","+",0,"ls","s","l"
"180",122,"6","*",0,"lp","l","p"
"181",123,"9","*",0,"ls","s","l"
"182",123,"3","*",0,"lp","p","l"
"183",123,"*","*",1,"ls","l","s"
"184",123,"+","+",1,"ls","s","l"
"185",123,"*","*",1,"ls","l","s"
"186",123,"+","+",1,"lp","p","l"
"187",123,"*","*",1,"ls","l","s"
"188",123,"+","+",1,"lp","p","l"
"189",123,"+","*",0,"lp","p","l"
"190",123,"+","*",0,"ls","s","l"
"191",124,"*","*",1,"lp","l","p"
"192",124,"*","+",0,"ps","s","p"
"193",124,"+","+",1,"lp","p","l"
"194",124,"*","*",1,"lp","l","p"
"195",124,"+","*",0,"ps","s","p"
"196",124,"+","*",0,"lp","p","l"
"197",124,"+","+",1,"lp","l","p"
"198",124,"4","*",0,"ps","s","p"
"199",124,"*","*",1,"ls","s","l"
"200",124,"*","+",0,"ls","l","s"
"201",125,"*","*",1,"lp","l","p"
"202",125,"*","*",1,"lp","p","l"
"203",125,"2","*",0,"ls","l","s"
"204",125,"8","+",0,"ps","p","s"
"205",125,"1","+",0,"ps","s","p"
"206",125,"+","+",1,"lp","p","l"
"207",125,"*","+",0,"ls","s","l"
"208",125,"*","+",0,"ls","l","s"
"209",125,"1","+",0,"ps","s","p"
"210",125,"*","*",1,"ps","s","p"
"211",126,"+","*",0,"lp","p","l"
"212",126,"*","*",1,"ls","l","s"
"213",126,"*","+",0,"ps","s","p"
"214",126,"7","+",0,"lp","p","l"
"215",126,"8","*",0,"ls","l","s"
"216",126,"6","*",0,"lp","l","p"
"217",126,"*","+",0,"ls","s","l"
"218",126,"5","*",0,"ps","s","p"
"219",126,"+","*",0,"lp","p","l"
"220",126,"+","*",0,"lp","l","p"
"221",127,"6","+",0,"ls","l","s"
"222",127,"+","*",0,"ps","s","p"
"223",127,"+","+",1,"ls","s","l"
"224",127,"*","+",0,"ls","l","s"
"225",127,"8","*",0,"ps","p","s"
"226",127,"1","+",0,"lp","p","l"
"227",127,"+","+",1,"lp","p","l"
"228",127,"+","+",1,"ls","l","s"
"229",127,"8","+",0,"ls","s","l"
"230",127,"+","+",1,"lp","l","p"
"231",128,"4","+",0,"lp","p","l"
"232",128,"9","*",0,"lp","l","p"
"233",128,"+","*",0,"ps","p","s"
"234",128,"*","+",0,"ls","l","s"
"235",128,"+","+",1,"lp","p","l"
"236",128,"+","+",1,"ls","s","l"
"237",128,"+","+",1,"lp","p","l"
"238",128,"*","*",1,"ps","s","p"
"239",128,"+","+",1,"ls","l","s"
"240",128,"*","*",1,"ls","l","s"
"241",129,"5","+",0,"lp","l","p"
"242",129,"*","+",0,"ps","s","p"
"243",129,"+","*",0,"ps","s","p"
"244",129,"*","+",0,"ls","l","s"
"245",129,"*","+",0,"ps","s","p"
"246",129,"+","+",1,"lp","l","p"
"247",129,"9","*",0,"ps","p","s"
"248",129,"9","*",0,"ls","s","l"
"249",129,"*","*",1,"ps","s","p"
"250",129,"*","*",1,"ls","s","l"
"251",130,"*","*",1,"ls","l","s"
"252",130,"4","+",0,"lp","p","l"
"253",130,"+","+",1,"ls","s","l"
"254",130,"1","*",0,"ps","s","p"
"255",130,"6","*",0,"ls","s","l"
"256",130,"*","*",1,"ps","p","s"
"257",130,"6","*",0,"ps","s","p"
"258",130,"+","+",1,"lp","p","l"
"259",130,"*","*",1,"lp","p","l"
"260",130,"+","+",1,"lp","p","l"
"261",131,"+","*",0,"ls","l","s"
"262",131,"+","*",0,"lp","p","l"
"263",131,"*","+",0,"lp","l","p"
"264",131,"3","*",0,"ps","p","s"
"265",131,"*","*",1,"ls","s","l"
"266",131,"*","*",1,"lp","p","l"
"267",131,"8","*",0,"lp","p","l"
"268",131,"*","*",1,"lp","p","l"
"269",131,"+","+",1,"ps","p","s"
"270",131,"*","*",1,"ps","s","p"
"271",132,"+","*",0,"lp","p","l"
"272",132,"+","+",1,"ls","s","l"
"273",132,"8","+",0,"ps","p","s"
"274",132,"9","+",0,"ps","p","s"
"275",132,"*","+",0,"lp","p","l"
"276",132,"*","+",0,"ps","s","p"
"277",132,"*","*",1,"ls","s","l"
"278",132,"*","+",0,"ps","s","p"
"279",132,"+","*",0,"lp","l","p"
"280",132,"+","+",1,"ls","l","s"
"281",133,"*","+",0,"ls","s","l"
"282",133,"+","*",0,"ls","s","l"
"283",133,"+","+",1,"lp","p","l"
"284",133,"+","+",1,"ls","s","l"
"285",133,"*","*",1,"lp","p","l"
"286",133,"*","*",1,"ls","l","s"
"287",133,"+","+",1,"ps","p","s"
"288",133,"*","+",0,"ps","p","s"
"289",133,"+","+",1,"ps","p","s"
"290",133,"*","+",0,"ps","s","p"
"291",134,"+","+",1,"lp","l","p"
"292",134,"+","*",0,"ps","p","s"
"293",134,"*","*",1,"ls","l","s"
"294",134,"*","*",1,"ps","s","p"
"295",134,"+","+",1,"ls","l","s"
"296",134,"*","*",1,"ls","s","l"
"297",134,"*","+",0,"lp","l","p"
"298",134,"9","*",0,"lp","l","p"
"299",134,"6","*",0,"ps","p","s"
"300",134,"+","+",1,"lp","l","p"
"301",135,"+","*",0,"ps","s","p"
"302",135,"5","*",0,"ls","l","s"
"303",135,"+","+",1,"lp","l","p"
"304",135,"7","+",0,"ls","s","l"
"305",135,"2","+",0,"ls","l","s"
"306",135,"+","+",1,"lp","p","l"
"307",135,"5","*",0,"ps","p","s"
"308",135,"6","*",0,"ps","p","s"
"309",135,"8","+",0,"ps","p","s"
"310",135,"5","*",0,"ls","s","l"
"311",136,"8","+",0,"ps","p","s"
"312",136,"*","*",1,"ps","s","p"
"313",136,"3","+",0,"ps","p","s"
"314",136,"*","+",0,"ps","s","p"
"315",136,"+","*",0,"ps","p","s"
"316",136,"+","+",1,"ps","p","s"
"317",136,"*","*",1,"ls","s","l"
"318",136,"1","+",0,"ps","s","p"
"319",136,"*","+",0,"ps","s","p"
"320",136,"*","*",1,"lp","l","p"
"321",137,"6","+",0,"ls","l","s"
"322",137,"*","*",1,"ls","s","l"
"323",137,"7","*",0,"ps","s","p"
"324",137,"6","*",0,"ps","p","s"
"325",137,"+","*",0,"ls","s","l"
"326",137,"*","*",1,"lp","p","l"
"327",137,"*","*",1,"ps","s","p"
"328",137,"8","+",0,"ps","p","s"
"329",137,"+","+",1,"lp","l","p"
"330",137,"2","+",0,"ls","l","s"
"331",138,"6","+",0,"lp","p","l"
"332",138,"*","*",1,"lp","l","p"
